Date,Name,NAV
04/29/2018,Baillie Gifford Positive Change B Acc,1.457,
04/30/2018,Baillie Gifford Positive Change B Acc,1.472,
05/01/2018,Baillie Gifford Positive Change B Acc,1.465,
05/02/2018,Baillie Gifford Positive Change B Acc,1.473,
05/03/2018,Baillie Gifford Positive Change B Acc,1.473,
05/04/2018,Baillie Gifford Positive Change B Acc,1.493,
05/05/2018,Baillie Gifford Positive Change B Acc,1.493,
05/06/2018,Baillie Gifford Positive Change B Acc,1.493,
05/07/2018,Baillie Gifford Positive Change B Acc,1.493,
05/08/2018,Baillie Gifford Positive Change B Acc,1.529,
05/09/2018,Baillie Gifford Positive Change B Acc,1.523,
05/10/2018,Baillie Gifford Positive Change B Acc,1.537,
05/11/2018,Baillie Gifford Positive Change B Acc,1.558,
05/12/2018,Baillie Gifford Positive Change B Acc,1.558,
05/13/2018,Baillie Gifford Positive Change B Acc,1.558,
05/14/2018,Baillie Gifford Positive Change B Acc,1.553,
05/15/2018,Baillie Gifford Positive Change B Acc,1.552,
05/16/2018,Baillie Gifford Positive Change B Acc,1.547,
05/17/2018,Baillie Gifford Positive Change B Acc,1.55,
05/18/2018,Baillie Gifford Positive Change B Acc,1.554,
05/19/2018,Baillie Gifford Positive Change B Acc,1.554,
05/20/2018,Baillie Gifford Positive Change B Acc,1.554,
05/21/2018,Baillie Gifford Positive Change B Acc,1.562,
05/22/2018,Baillie Gifford Positive Change B Acc,1.563,
05/23/2018,Baillie Gifford Positive Change B Acc,1.568,
05/24/2018,Baillie Gifford Positive Change B Acc,1.576,
05/25/2018,Baillie Gifford Positive Change B Acc,1.581,
05/26/2018,Baillie Gifford Positive Change B Acc,1.581,
05/27/2018,Baillie Gifford Positive Change B Acc,1.581,
05/28/2018,Baillie Gifford Positive Change B Acc,1.581,
05/29/2018,Baillie Gifford Positive Change B Acc,1.573,
05/30/2018,Baillie Gifford Positive Change B Acc,1.57,
05/31/2018,Baillie Gifford Positive Change B Acc,1.578,
06/01/2018,Baillie Gifford Positive Change B Acc,1.577,
06/02/2018,Baillie Gifford Positive Change B Acc,1.577,
06/03/2018,Baillie Gifford Positive Change B Acc,1.577,
06/04/2018,Baillie Gifford Positive Change B Acc,1.597,
06/05/2018,Baillie Gifford Positive Change B Acc,1.608,
06/06/2018,Baillie Gifford Positive Change B Acc,1.602,
06/07/2018,Baillie Gifford Positive Change B Acc,1.616,
06/08/2018,Baillie Gifford Positive Change B Acc,1.596,
06/09/2018,Baillie Gifford Positive Change B Acc,1.596,
06/10/2018,Baillie Gifford Positive Change B Acc,1.596,
06/11/2018,Baillie Gifford Positive Change B Acc,1.616,
06/12/2018,Baillie Gifford Positive Change B Acc,1.625,
06/13/2018,Baillie Gifford Positive Change B Acc,1.654,
06/14/2018,Baillie Gifford Positive Change B Acc,1.637,
06/15/2018,Baillie Gifford Positive Change B Acc,1.667,
06/16/2018,Baillie Gifford Positive Change B Acc,1.667,
06/17/2018,Baillie Gifford Positive Change B Acc,1.667,
06/18/2018,Baillie Gifford Positive Change B Acc,1.662,
06/19/2018,Baillie Gifford Positive Change B Acc,1.647,
06/20/2018,Baillie Gifford Positive Change B Acc,1.655,
06/21/2018,Baillie Gifford Positive Change B Acc,1.663,
06/22/2018,Baillie Gifford Positive Change B Acc,1.633,
06/23/2018,Baillie Gifford Positive Change B Acc,1.633,
06/24/2018,Baillie Gifford Positive Change B Acc,1.633,
06/25/2018,Baillie Gifford Positive Change B Acc,1.623,
06/26/2018,Baillie Gifford Positive Change B Acc,1.601,
06/27/2018,Baillie Gifford Positive Change B Acc,1.608,
06/28/2018,Baillie Gifford Positive Change B Acc,1.6,
06/29/2018,Baillie Gifford Positive Change B Acc,1.609,
06/30/2018,Baillie Gifford Positive Change B Acc,1.609,
07/01/2018,Baillie Gifford Positive Change B Acc,1.609,
07/02/2018,Baillie Gifford Positive Change B Acc,1.597,
07/03/2018,Baillie Gifford Positive Change B Acc,1.6,
07/04/2018,Baillie Gifford Positive Change B Acc,1.594,
07/05/2018,Baillie Gifford Positive Change B Acc,1.593,
07/06/2018,Baillie Gifford Positive Change B Acc,1.59,
07/07/2018,Baillie Gifford Positive Change B Acc,1.59,
07/08/2018,Baillie Gifford Positive Change B Acc,1.59,
07/09/2018,Baillie Gifford Positive Change B Acc,1.607,
07/10/2018,Baillie Gifford Positive Change B Acc,1.624,
07/11/2018,Baillie Gifford Positive Change B Acc,1.619,
07/12/2018,Baillie Gifford Positive Change B Acc,1.627,
07/13/2018,Baillie Gifford Positive Change B Acc,1.66,
07/14/2018,Baillie Gifford Positive Change B Acc,1.66,
07/15/2018,Baillie Gifford Positive Change B Acc,1.66,
07/16/2018,Baillie Gifford Positive Change B Acc,1.648,
07/17/2018,Baillie Gifford Positive Change B Acc,1.637,
07/18/2018,Baillie Gifford Positive Change B Acc,1.678,
07/19/2018,Baillie Gifford Positive Change B Acc,1.682,
07/20/2018,Baillie Gifford Positive Change B Acc,1.69,
07/21/2018,Baillie Gifford Positive Change B Acc,1.69,
07/22/2018,Baillie Gifford Positive Change B Acc,1.69,
07/23/2018,Baillie Gifford Positive Change B Acc,1.677,
07/24/2018,Baillie Gifford Positive Change B Acc,1.682,
07/25/2018,Baillie Gifford Positive Change B Acc,1.668,
07/26/2018,Baillie Gifford Positive Change B Acc,1.688,
07/27/2018,Baillie Gifford Positive Change B Acc,1.687,
07/28/2018,Baillie Gifford Positive Change B Acc,1.687,
07/29/2018,Baillie Gifford Positive Change B Acc,1.687,
07/30/2018,Baillie Gifford Positive Change B Acc,1.662,
07/31/2018,Baillie Gifford Positive Change B Acc,1.624,
08/01/2018,Baillie Gifford Positive Change B Acc,1.648,
08/02/2018,Baillie Gifford Positive Change B Acc,1.666,
08/03/2018,Baillie Gifford Positive Change B Acc,1.708,
08/04/2018,Baillie Gifford Positive Change B Acc,1.708,
08/05/2018,Baillie Gifford Positive Change B Acc,1.708,
08/06/2018,Baillie Gifford Positive Change B Acc,1.704,
08/07/2018,Baillie Gifford Positive Change B Acc,1.706,
08/08/2018,Baillie Gifford Positive Change B Acc,1.733,
08/09/2018,Baillie Gifford Positive Change B Acc,1.732,
08/10/2018,Baillie Gifford Positive Change B Acc,1.729,
08/11/2018,Baillie Gifford Positive Change B Acc,1.729,
08/12/2018,Baillie Gifford Positive Change B Acc,1.729,
08/13/2018,Baillie Gifford Positive Change B Acc,1.709,
08/14/2018,Baillie Gifford Positive Change B Acc,1.707,
08/15/2018,Baillie Gifford Positive Change B Acc,1.709,
08/16/2018,Baillie Gifford Positive Change B Acc,1.681,
08/17/2018,Baillie Gifford Positive Change B Acc,1.687,
08/18/2018,Baillie Gifford Positive Change B Acc,1.687,
08/19/2018,Baillie Gifford Positive Change B Acc,1.687,
08/20/2018,Baillie Gifford Positive Change B Acc,1.686,
08/21/2018,Baillie Gifford Positive Change B Acc,1.682,
08/22/2018,Baillie Gifford Positive Change B Acc,1.69,
08/23/2018,Baillie Gifford Positive Change B Acc,1.703,
08/24/2018,Baillie Gifford Positive Change B Acc,1.721,
08/25/2018,Baillie Gifford Positive Change B Acc,1.721,
08/26/2018,Baillie Gifford Positive Change B Acc,1.721,
08/27/2018,Baillie Gifford Positive Change B Acc,1.721,
