Date,Name,NAV
03/07/2012,Liontrust Global Alpha C Acc GBP,2.838,
03/08/2012,Liontrust Global Alpha C Acc GBP,2.869,
03/09/2012,Liontrust Global Alpha C Acc GBP,2.896,
03/10/2012,Liontrust Global Alpha C Acc GBP,2.896,
03/11/2012,Liontrust Global Alpha C Acc GBP,2.896,
03/12/2012,Liontrust Global Alpha C Acc GBP,2.929,
03/13/2012,Liontrust Global Alpha C Acc GBP,2.926,
03/14/2012,Liontrust Global Alpha C Acc GBP,2.938,
03/15/2012,Liontrust Global Alpha C Acc GBP,2.929,
03/16/2012,Liontrust Global Alpha C Acc GBP,2.926,
03/17/2012,Liontrust Global Alpha C Acc GBP,2.926,
03/18/2012,Liontrust Global Alpha C Acc GBP,2.926,
03/19/2012,Liontrust Global Alpha C Acc GBP,2.892,
03/20/2012,Liontrust Global Alpha C Acc GBP,2.879,
03/21/2012,Liontrust Global Alpha C Acc GBP,2.857,
03/22/2012,Liontrust Global Alpha C Acc GBP,2.867,
03/23/2012,Liontrust Global Alpha C Acc GBP,2.849,
03/24/2012,Liontrust Global Alpha C Acc GBP,2.849,
03/25/2012,Liontrust Global Alpha C Acc GBP,2.849,
03/26/2012,Liontrust Global Alpha C Acc GBP,2.868,
03/27/2012,Liontrust Global Alpha C Acc GBP,2.877,
03/28/2012,Liontrust Global Alpha C Acc GBP,2.863,
03/29/2012,Liontrust Global Alpha C Acc GBP,2.836,
03/30/2012,Liontrust Global Alpha C Acc GBP,2.821,
03/31/2012,Liontrust Global Alpha C Acc GBP,2.821,
04/01/2012,Liontrust Global Alpha C Acc GBP,2.821,
04/02/2012,Liontrust Global Alpha C Acc GBP,2.826,
04/03/2012,Liontrust Global Alpha C Acc GBP,2.858,
04/04/2012,Liontrust Global Alpha C Acc GBP,2.862,
04/05/2012,Liontrust Global Alpha C Acc GBP,2.841,
04/06/2012,Liontrust Global Alpha C Acc GBP,2.841,
04/07/2012,Liontrust Global Alpha C Acc GBP,2.841,
04/08/2012,Liontrust Global Alpha C Acc GBP,2.841,
04/09/2012,Liontrust Global Alpha C Acc GBP,2.841,
04/10/2012,Liontrust Global Alpha C Acc GBP,2.831,
04/11/2012,Liontrust Global Alpha C Acc GBP,2.78,
04/12/2012,Liontrust Global Alpha C Acc GBP,2.793,
04/13/2012,Liontrust Global Alpha C Acc GBP,2.836,
04/14/2012,Liontrust Global Alpha C Acc GBP,2.836,
04/15/2012,Liontrust Global Alpha C Acc GBP,2.836,
04/16/2012,Liontrust Global Alpha C Acc GBP,2.838,
04/17/2012,Liontrust Global Alpha C Acc GBP,2.795,
04/18/2012,Liontrust Global Alpha C Acc GBP,2.807,
04/19/2012,Liontrust Global Alpha C Acc GBP,2.819,
04/20/2012,Liontrust Global Alpha C Acc GBP,2.813,
04/21/2012,Liontrust Global Alpha C Acc GBP,2.813,
04/22/2012,Liontrust Global Alpha C Acc GBP,2.813,
04/23/2012,Liontrust Global Alpha C Acc GBP,2.794,
04/24/2012,Liontrust Global Alpha C Acc GBP,2.773,
04/25/2012,Liontrust Global Alpha C Acc GBP,2.768,
04/26/2012,Liontrust Global Alpha C Acc GBP,2.763,
04/27/2012,Liontrust Global Alpha C Acc GBP,2.766,
04/28/2012,Liontrust Global Alpha C Acc GBP,2.766,
04/29/2012,Liontrust Global Alpha C Acc GBP,2.766,
04/30/2012,Liontrust Global Alpha C Acc GBP,2.783,
05/01/2012,Liontrust Global Alpha C Acc GBP,2.778,
05/02/2012,Liontrust Global Alpha C Acc GBP,2.79,
05/03/2012,Liontrust Global Alpha C Acc GBP,2.772,
05/04/2012,Liontrust Global Alpha C Acc GBP,2.736,
05/05/2012,Liontrust Global Alpha C Acc GBP,2.736,
05/06/2012,Liontrust Global Alpha C Acc GBP,2.736,
05/07/2012,Liontrust Global Alpha C Acc GBP,2.736,
05/08/2012,Liontrust Global Alpha C Acc GBP,2.669,
05/09/2012,Liontrust Global Alpha C Acc GBP,2.646,
05/10/2012,Liontrust Global Alpha C Acc GBP,2.643,
05/11/2012,Liontrust Global Alpha C Acc GBP,2.646,
05/12/2012,Liontrust Global Alpha C Acc GBP,2.646,
05/13/2012,Liontrust Global Alpha C Acc GBP,2.646,
05/14/2012,Liontrust Global Alpha C Acc GBP,2.63,
05/15/2012,Liontrust Global Alpha C Acc GBP,2.62,
05/16/2012,Liontrust Global Alpha C Acc GBP,2.583,
05/17/2012,Liontrust Global Alpha C Acc GBP,2.594,
05/18/2012,Liontrust Global Alpha C Acc GBP,2.564,
05/19/2012,Liontrust Global Alpha C Acc GBP,2.564,
05/20/2012,Liontrust Global Alpha C Acc GBP,2.564,
05/21/2012,Liontrust Global Alpha C Acc GBP,2.558,
05/22/2012,Liontrust Global Alpha C Acc GBP,2.569,
05/23/2012,Liontrust Global Alpha C Acc GBP,2.543,
05/24/2012,Liontrust Global Alpha C Acc GBP,2.542,
05/25/2012,Liontrust Global Alpha C Acc GBP,2.536,
05/26/2012,Liontrust Global Alpha C Acc GBP,2.536,
05/27/2012,Liontrust Global Alpha C Acc GBP,2.536,
05/28/2012,Liontrust Global Alpha C Acc GBP,2.54,
05/29/2012,Liontrust Global Alpha C Acc GBP,2.548,
05/30/2012,Liontrust Global Alpha C Acc GBP,2.557,
05/31/2012,Liontrust Global Alpha C Acc GBP,2.552,
06/01/2012,Liontrust Global Alpha C Acc GBP,2.544,
06/02/2012,Liontrust Global Alpha C Acc GBP,2.544,
06/03/2012,Liontrust Global Alpha C Acc GBP,2.544,
06/04/2012,Liontrust Global Alpha C Acc GBP,2.544,
06/05/2012,Liontrust Global Alpha C Acc GBP,2.544,
06/06/2012,Liontrust Global Alpha C Acc GBP,2.549,
06/07/2012,Liontrust Global Alpha C Acc GBP,2.574,
06/08/2012,Liontrust Global Alpha C Acc GBP,2.595,
06/09/2012,Liontrust Global Alpha C Acc GBP,2.595,
06/10/2012,Liontrust Global Alpha C Acc GBP,2.595,
06/11/2012,Liontrust Global Alpha C Acc GBP,2.609,
06/12/2012,Liontrust Global Alpha C Acc GBP,2.59,
06/13/2012,Liontrust Global Alpha C Acc GBP,2.596,
06/14/2012,Liontrust Global Alpha C Acc GBP,2.583,
06/15/2012,Liontrust Global Alpha C Acc GBP,2.616,
06/16/2012,Liontrust Global Alpha C Acc GBP,2.616,
06/17/2012,Liontrust Global Alpha C Acc GBP,2.616,
06/18/2012,Liontrust Global Alpha C Acc GBP,2.63,
06/19/2012,Liontrust Global Alpha C Acc GBP,2.635,
06/20/2012,Liontrust Global Alpha C Acc GBP,2.648,
06/21/2012,Liontrust Global Alpha C Acc GBP,2.618,
06/22/2012,Liontrust Global Alpha C Acc GBP,2.586,
06/23/2012,Liontrust Global Alpha C Acc GBP,2.586,
06/24/2012,Liontrust Global Alpha C Acc GBP,2.586,
06/25/2012,Liontrust Global Alpha C Acc GBP,2.579,
06/26/2012,Liontrust Global Alpha C Acc GBP,2.558,
06/27/2012,Liontrust Global Alpha C Acc GBP,2.571,
06/28/2012,Liontrust Global Alpha C Acc GBP,2.58,
06/29/2012,Liontrust Global Alpha C Acc GBP,2.604,
06/30/2012,Liontrust Global Alpha C Acc GBP,2.604,
07/01/2012,Liontrust Global Alpha C Acc GBP,2.604,
07/02/2012,Liontrust Global Alpha C Acc GBP,2.635,
07/03/2012,Liontrust Global Alpha C Acc GBP,2.667,
07/04/2012,Liontrust Global Alpha C Acc GBP,2.692,
07/05/2012,Liontrust Global Alpha C Acc GBP,2.718,
07/06/2012,Liontrust Global Alpha C Acc GBP,2.719,
07/07/2012,Liontrust Global Alpha C Acc GBP,2.719,
07/08/2012,Liontrust Global Alpha C Acc GBP,2.719,
07/09/2012,Liontrust Global Alpha C Acc GBP,2.689,
07/10/2012,Liontrust Global Alpha C Acc GBP,2.684,
07/11/2012,Liontrust Global Alpha C Acc GBP,2.65,
