Date,Name,Close,High,Low,Open,Volume
08/22/2020,iShares $ TIPS ETF USD Acc GBP,183.005,,,,,
08/23/2020,iShares $ TIPS ETF USD Acc GBP,183.005,,,,,
08/24/2020,iShares $ TIPS ETF USD Acc GBP,183.885,,,,,
08/25/2020,iShares $ TIPS ETF USD Acc GBP,182.575,,,,,
08/26/2020,iShares $ TIPS ETF USD Acc GBP,182.005,,,,,
08/27/2020,iShares $ TIPS ETF USD Acc GBP,181.505,,,,,
08/28/2020,iShares $ TIPS ETF USD Acc GBP,180.195,,,,,
08/29/2020,iShares $ TIPS ETF USD Acc GBP,180.195,,,,,
08/30/2020,iShares $ TIPS ETF USD Acc GBP,180.195,,,,,
08/31/2020,iShares $ TIPS ETF USD Acc GBP,180.195,,,,,
09/01/2020,iShares $ TIPS ETF USD Acc GBP,179.835,,,,,
09/02/2020,iShares $ TIPS ETF USD Acc GBP,181.835,,,,,
09/03/2020,iShares $ TIPS ETF USD Acc GBP,181.67,,,,,
09/04/2020,iShares $ TIPS ETF USD Acc GBP,182.145,,,,,
09/05/2020,iShares $ TIPS ETF USD Acc GBP,182.145,,,,,
09/06/2020,iShares $ TIPS ETF USD Acc GBP,182.145,,,,,
09/07/2020,iShares $ TIPS ETF USD Acc GBP,182.325,,,,,
09/08/2020,iShares $ TIPS ETF USD Acc GBP,184.56,,,,,
09/09/2020,iShares $ TIPS ETF USD Acc GBP,184.54,,,,,
09/10/2020,iShares $ TIPS ETF USD Acc GBP,186.64,,,,,
09/11/2020,iShares $ TIPS ETF USD Acc GBP,188.24,,,,,
09/12/2020,iShares $ TIPS ETF USD Acc GBP,188.24,,,,,
09/13/2020,iShares $ TIPS ETF USD Acc GBP,188.24,,,,,
09/14/2020,iShares $ TIPS ETF USD Acc GBP,186.66,,,,,
09/15/2020,iShares $ TIPS ETF USD Acc GBP,186.92,,,,,
09/16/2020,iShares $ TIPS ETF USD Acc GBP,185.375,,,,,
09/17/2020,iShares $ TIPS ETF USD Acc GBP,185.505,,,,,
09/18/2020,iShares $ TIPS ETF USD Acc GBP,185.62,,,,,
09/19/2020,iShares $ TIPS ETF USD Acc GBP,185.62,,,,,
09/20/2020,iShares $ TIPS ETF USD Acc GBP,185.62,,,,,
09/21/2020,iShares $ TIPS ETF USD Acc GBP,187.875,,,,,
09/22/2020,iShares $ TIPS ETF USD Acc GBP,188.175,,,,,
09/23/2020,iShares $ TIPS ETF USD Acc GBP,187.99,,,,,
09/24/2020,iShares $ TIPS ETF USD Acc GBP,188.18,,,,,
09/25/2020,iShares $ TIPS ETF USD Acc GBP,189.12,,,,,
09/26/2020,iShares $ TIPS ETF USD Acc GBP,189.12,,,,,
09/27/2020,iShares $ TIPS ETF USD Acc GBP,189.12,,,,,
09/28/2020,iShares $ TIPS ETF USD Acc GBP,187.055,,,,,
09/29/2020,iShares $ TIPS ETF USD Acc GBP,187.655,,,,,
09/30/2020,iShares $ TIPS ETF USD Acc GBP,186.3,,,,,
10/01/2020,iShares $ TIPS ETF USD Acc GBP,186.49,,,,,
10/02/2020,iShares $ TIPS ETF USD Acc GBP,185.795,,,,,
10/03/2020,iShares $ TIPS ETF USD Acc GBP,185.795,,,,,
10/04/2020,iShares $ TIPS ETF USD Acc GBP,185.795,,,,,
10/05/2020,iShares $ TIPS ETF USD Acc GBP,185.25,,,,,
10/06/2020,iShares $ TIPS ETF USD Acc GBP,184.87,,,,,
10/07/2020,iShares $ TIPS ETF USD Acc GBP,185.53,,,,,
10/08/2020,iShares $ TIPS ETF USD Acc GBP,185.895,,,,,
10/09/2020,iShares $ TIPS ETF USD Acc GBP,184.72,,,,,
10/10/2020,iShares $ TIPS ETF USD Acc GBP,184.72,,,,,
10/11/2020,iShares $ TIPS ETF USD Acc GBP,184.72,,,,,
10/12/2020,iShares $ TIPS ETF USD Acc GBP,184.305,,,,,
10/13/2020,iShares $ TIPS ETF USD Acc GBP,186,,,,,
